Name of Clinic,Address,Email,Phone,Services
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Our Clinics,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",,1800 366 837,☰ Menu
Allsports Podiatry Albany Creek,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",albanycreek@allsportspodiatry.com.au,1800 366 837,"November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | September 12, 2018 Seniors Footcare With Australia's advancing aged population, it has never been more important to highlight foot care in the elderly. My FootDr podiatrists can prevent many complications with early diagnosis and treatment. Read more » | June 21, 2016 Resources Useful resources for doctors including our Referral Form. Read more »"
Allsports Podiatry Albany Creek,"Albany Creek Leisure Centre, Cnr Old Northern Rd & Explorer Drive, Albany Creek QLD 4035",albanycreek@allsportspodiatry.com.au,1800 366 837,"November 12, 2015 Clinical Podiatry Our centres provide the full scope of clinical podiatry including comprehensive foot assessments, various treatments and surgery. Read more » | February 1, 2022 Health Funds At My FootDr we are passionate about providing all our patient’s treatment options that lead to better health outcomes for not only themselves, but their families too. Being a preferred provider of a health fund means that our clinics may allow you access to exclusive benefits dependent on your level of cover. Read more » | November 12, 2015 Custom Foot Orthotics Our custom foot orthotics are manufactured with precision from digital foot scans and are typically available on the same day. Read more » | November 12, 2015 Video Gait Analysis We use this advanced form of motion analysis to assists us in diagnosing complex motion related pathology of the foot, ankle, knee hip and lower back. Read more » | November 12, 2015 Diabetes and Footcare Regular podiatric care plays an integral role in the prevention of diabetic foot complications. Our My FootDr podiatrists are trained in diabetic foot care to make sure our patients have the best outcome. Read more » | September 28, 2018 National Disability Insurance Scheme (NDIS) My FootDr is a proud supporter of the NDIS and are an innovative, nationally registered provider of podiatry services to NDIS participants across Australia. Read more » | September 12, 2018 Seniors Footcare With Australia's advancing aged population, it has never been more important to highlight foot care in the elderly. My FootDr podiatrists can prevent many complications with early diagnosis and treatment. Read more » | June 21, 2016 Resources Useful resources for doctors including our Referral Form. Read more »"
